Author,Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude
@TMCPoldaMetro,06.42 Situasi arus lalu lintas di Jl. Jendral Sudirman (Teluk Betung) Jakpus menuju arah Jl. MH Thamrin terpantau ramai lancar. https://t.co/oI0RqMEPjm,5/24/2022 23:43,in,,6,0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,05.46 Situasi arus lalu lintas di Ruas Tol Jagorawi KM 06+000 (Dukuh) terpantau ramai lancar. https://t.co/UNGJlh8sUT,5/24/2022 22:47,in,,5,0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,05.12 Situasi arus lalu lintas di Ruas Tol Dalam Kota KM 00+600 (Cawang) terpantau lancar. https://t.co/oJLk4vceDH,5/24/2022 22:12,in,,3,0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,21.51 Situasi arus lalu lintas di ruas Tol Jakarta-Cikampek KM 07+000 terpantau ramai lancar. https://t.co/cNCmkxHVtu,5/24/2022 14:51,in,,7,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,08.33 Situasi arus lalu lintas di Tl. Harmoni dari Petojo dan Kota Tua arah Pasar Baru dan Monas maupun arah sebaliknya terpantau ramai lancar di pagi hari ini. https://t.co/RXXYlA1guc,5/23/2022 1:38,in,,1,2,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,08.28 Situasi arus lalu lintas di Tol Dalam Kota Pancoran dan Jl. Gatot Subroto dari Cawang arah Grogol maupun arah sebaliknya terpantau ramai lancar di pagi hari ini. https://t.co/qndbaPHAQU,5/23/2022 1:29,in,,1,0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,08.10 Situasi arus lalu lintas di sekitaran Bundaran Senayan dari Jl Pattimura dan Jl. Sisingamangaraja mengarah Sudirman maupun arah sebaliknya terpantau ramai lancar di pagi hari ini. https://t.co/jmR6qd3zo6,5/23/2022 1:25,in,,12,2,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,08.08 Situasi arus lalu lintas di sekitaran Bundaran HI Menteng Jakpus dari Sudirman mengarah Thamrin dan Jl. Imam Bonjol maupun arah sebaliknya terpantau ramai lancar di pagi hari ini. https://t.co/xvwW96zFhD,5/23/2022 1:08,in,,6,0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,07.52 Situasi arus lalu lintas di Traffic Light Salemba Jakpus menuju arah Senen maupun arah Matraman terpantau ramai lancar. https://t.co/zX7YWkoAj5,5/22/2022 0:52,in,,3,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,07.26 Situasi arus lalu lintas di Ruas Tol Dalam Kota KM 07+400 (Semanggi) terpantau ramai lancar. https://t.co/gedEcwWxSb,5/22/2022 0:26,in,,9,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,07.15 Situasi arus lalu lintas di Traffic Light Tugu Tani Jakpus menuju arah Jl. Medan Merdeka Selatan terpantau ramai lancar. https://t.co/kv4crJ3gO4,5/22/2022 0:15,in,,3,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
